=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 15:36:44 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., VoltageB-0.12, STANDBY, NONE
9818, 530, 24.00, 16.61, -0.12, STANDBY, NONE
.00, 16.61, -0.12, STANDBY, NONE
9808, 530, 24.00, 16.61, -0.12, STANDBY, NONE
9818, 530, 24.00, 16.61, -0.12, STANDBY, NONE
.00, 16.61, -0.12, STANDBY, NONE
9808, 530, 24.00, 16.61, -0.12, STANDBY, NONE
9818, 530, 24.00, 16.61, -0.12, STANDBY, NONE
Millis, Current, Temp., Voltage, Press., State, Alarm
101, 528, 24.00, 16.59, -0.01, STANDBY, NONE
111, 529, 24.00, 16.59, -0.05, STANDBY, NONE
121, 529, 24.00, 16.59, -0.10, STANDBY, NONE
131, 530, 24.00, 16.59, -0.14, STANDBY, NONE
141, 529, 25.00, 16.61, -0.14, STANDBY, NONE
151, 530, 24.00, 16.59, -0.14, STANDBY, NONE
161, 529, 24.00, 16.64, -0.13, STANDBY, NONE
171, 529, 24.00, 16.61, -0.13, STANDBY, NONE
181, 529, 24.00, 16.61, -0.13, STANDBY, NONE
191, 529, 24.00, 16.61, -0.13, STANDBY, NONE
201, 530, 24.00, 16.61, -0.13, STANDBY, NONE
211, 529, 24.00, 16.61, -0.13, STANDBY, NONE
221, 529, 24.00, 16.59, -0.13, STANDBY, NONE
231, 529, 25.00, 16.61, -0.13, STANDBY, NONE
241, 530, 24.00, 16.61, -0.13, STANDBY, NONE
251, 529, 24.00, 16.61, -0.13, STANDBY, NONE
261, 529, 24.00, 16.64, -0.13, STANDBY, NONE
271, 530, 24.00, 16.61, -0.13, STANDBY, NONE
281, 530, 24.00, 16.61, -0.13, STANDBY, NONE
291, 529, 25.00, 16.64, -0.13, STANDBY, NONE
301, 530, 24.00, 16.61, -0.13, STANDBY, NONE
311, 529, 24.00, 16.59, -0.13, STANDBY, NONE
321, 529, 24.00, 16.61, -0.14, STANDBY, NONE
331, 529, 24.00, 16.61, -0.14, STANDBY, NONE
342, 529, 24.00, 16.59, -0.14, STANDBY, NONE
352, 529, 24.00, 16.59, -0.13, STANDBY, NONE
362, 529, 25.00, 16.59, -0.13, STANDBY, NONE
372, 529, 24.00, 16.61, -0.14, STANDBY, NONE
382, 529, 24.00, 16.61, -0.13, STANDBY, NONE
392, 529, 24.00, 16.61, -0.14, STANDBY, NONE
402, 529, 24.00, 16.59, -0.14, STANDBY, NONE
412, 529, 24.00, 16.59, -0.14, STANDBY, NONE
422, 529, 24.00, 16.59, -0.14, STANDBY, NONE
432, 530, 24.00, 16.56, -0.13, STANDBY, NONE
442, 529, 24.00, 16.61, -0.13, STANDBY, NONE
452, 529, 24.00, 16.61, -0.13, STANDBY, NONE
462, 530, 24.00, 16.61, -0.13, STANDBY, NONE
472, 529, 25.00, 16.64, -0.13, STANDBY, NONE
482, 529, 24.00, 16.61, -0.13, STANDBY, NONE
492, 529, 25.00, 16.59, -0.13, STANDBY, NONE
502, 529, 25.00, 16.61, -0.13, STANDBY, NONE
512, 530, 24.00, 16.59, -0.13, STANDBY, NONE
522, 530, 24.00, 16.67, -0.13, STANDBY, NONE
532, 529, 24.00, 16.67, -0.13, STANDBY, NONE
542, 529, 24.00, 16.64, -0.13, STANDBY, NONE
552, 529, 24.00, 16.61, -0.13, STANDBY, NONE
562, 528, 24.00, 16.61, -0.13, STANDBY, NONE
572, 529, 24.00, 16.61, -0.13, STANDBY, NONE
582, 529, 25.00, 16.61, -0.13, STANDBY, NONE
592, 529, 24.00, 16.59, -0.13, STANDBY, NONE
602, 529, 24.00, 16.59, -0.13, STANDBY, NONE
612, 529, 24.00, 16.61, -0.13, STANDBY, NONE
622, 529, 24.00, 16.61, -0.13, STANDBY, NONE
632, 529, 24.00, 16.61, -0.13, STANDBY, NONE
642, 529, 24.00, 16.61, -0.14, STANDBY, NONE
652, 529, 24.00, 16.59, -0.14, STANDBY, NONE
662, 529, 24.00, 16.59, -0.13, STANDBY, NONE
672, 529, 24.00, 16.59, -0.13, STANDBY, NONE
683, 529, 25.00, 16.61, -0.13, STANDBY, NONE
693, 529, 24.00, 16.59, -0.13, STANDBY, NONE
703, 529, 24.00, 16.59, -0.13, STANDBY, NONE
713, 529, 24.00, 16.59, -0.13, STANDBY, NONE
723, 529, 24.00, 16.59, -0.13, STANDBY, NONE
733, 529, 24.00, 16.61, -0.13, STANDBY, NONE
743, 529, 24.00, 16.61, -0.13, STANDBY, NONE
753, 529, 24.00, 16.61, -0.13, STANDBY, NONE
763, 530, 24.00, 16.61, -0.13, STANDBY, NONE
773, 528, 24.00, 16.59, -0.14, STANDBY, NONE
783, 529, 24.00, 16.59, -0.14, STANDBY, NONE
793, 530, 24.00, 16.59, -0.14, STANDBY, NONE
803, 529, 24.00, 16.59, -0.13, STANDBY, NONE
813, 529, 24.00, 16.61, -0.13, STANDBY, NONE
823, 529, 24.00, 16.64, -0.13, STANDBY, NONE
833, 529, 24.00, 16.61, -0.13, STANDBY, NONE
843, 529, 24.00, 16.64, -0.14, STANDBY, NONE
854, 529, 25.00, 16.64, -0.14, STANDBY, NONE
864, 529, 24.00, 16.61, -0.14, STANDBY, NONE
874, 529, 24.00, 16.61, -0.14, STANDBY, NONE
884, 529, 24.00, 16.61, -0.14, STANDBY, NONE
894, 529, 24.00, 16.61, -0.13, STANDBY, NONE
904, 529, 24.00, 16.59, -0.13, STANDBY, NONE
914, 529, 24.00, 16.59, -0.13, STANDBY, NONE
924, 529, 24.00, 16.59, -0.13, STANDBY, NONE
934, 529, 24.00, 16.61, -0.13, STANDBY, NONE
944, 530, 24.00, 16.61, -0.14, STANDBY, NONE
954, 529, 24.00, 16.59, -0.14, STANDBY, NONE
964, 529, 24.00, 16.59, -0.13, STANDBY, NONE
974, 529, 24.00, 16.59, -0.13, STANDBY, NONE
984, 530, 24.00, 16.64, -0.13, STANDBY, NONE
994, 529, 24.00, 16.56, -0.14, STANDBY, NONE
1004, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1014, 528, 24.00, 16.61, -0.14, STANDBY, NONE
1024, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1034, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1044, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1054, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1064, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1074, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1084, 530, 24.00, 16.59, -0.14, STANDBY, NONE
1094, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1104, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1114, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1124, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1134, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1144, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1154, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1164, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1174, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1184, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1195, 530, 25.00, 16.59, -0.14, STANDBY, NONE
1205, 530, 24.00, 16.59, -0.15, STANDBY, NONE
1215, 530, 24.00, 16.59, -0.15, STANDBY, NONE
1225, 530, 24.00, 16.59, -0.14, STANDBY, NONE
1235, 530, 24.00, 16.56, -0.13, STANDBY, NONE
1245, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1255, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1265, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1275, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1285, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1295, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1305, 529, 25.00, 16.59, -0.13, STANDBY, NONE
1315, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1325, 529, 24.00, 16.61, -0.13, STANDBY, NONE
1335, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1345, 528, 24.00, 16.59, -0.14, STANDBY, NONE
1355, 529, 25.00, 16.59, -0.14, STANDBY, NONE
1366, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1376, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1386, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1396, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1406, 530, 25.00, 16.59, -0.14, STANDBY, NONE
1416, 530, 24.00, 16.59, -0.13, STANDBY, NONE
1426, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1436, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1446, 528, 24.00, 16.59, -0.14, STANDBY, NONE
1456, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1466, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1476, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1486, 529, 24.00, 16.59, -0.13, STANDBY, NONE
1496, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1506, 530, 24.00, 16.61, -0.13, STANDBY, NONE
1516, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1526, 529, 24.00, 16.61, -0.14, STANDBY, NONE
1536, 529, 24.00, 16.59, -0.14, STANDBY, NONE
1546, 529, 24.00, 16.61, -0.14, STANDBY, NONE
