=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.30 16:03:26 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp.5, -40.00, 0.54, -0.97, ALARM, LOW_FC_TEMP
8574, 6.25, -40.00, 0.41, -0.39, ALARM, LOW_FC_TEMP
, ALARM, LOW_FC_TEMP
8564, 6.25, -40.00, 0.54, -0.97, ALARM, LOW_FC_TEMP
8574, 6.25, -40.00, 0.41, -0.39, ALARM, LOW_FC_TEMP
, ALARM, LOW_FC_TEMP
8564, 6.25, -40.00, 0.54, -0.97, ALARM, LOW_FC_TEMP
8574, 6.25, -40.00, 0.41, -0.39, ALARM, LOW_FC_TEMP
Millis, Current, Temp., Voltage, Press., State, Alarm
100, 5.86, -40.00, 0.41, 0.31, ALARM, LOW_FC_TEMP
110, 6.25, -40.00, 0.44, 0.86, ALARM, LOW_FC_TEMP
120, 6.25, -40.00, 0.52, 0.78, ALARM, LOW_FC_TEMP
130, 6.25, -40.00, 0.28, 0.41, ALARM, LOW_FC_TEMP
140, 6.25, -40.00, 0.47, -0.37, ALARM, LOW_FC_TEMP
150, 5.86, -40.00, 0.18, -0.46, ALARM, LOW_FC_TEMP
160, 6.25, -40.00, 0.41, -0.52, ALARM, LOW_FC_TEMP
171, 5.86, -40.00, 0.18, -0.69, ALARM, LOW_FC_TEMP
181, 6.25, -40.00, 0.41, -0.58, ALARM, LOW_FC_TEMP
191, 6.25, -40.00, 0.57, -0.79, ALARM, LOW_FC_TEMP
201, 6.25, -40.00, 0.62, -0.53, ALARM, LOW_FC_TEMP
211, 6.25, -40.00, 0.60, -0.86, ALARM, LOW_FC_TEMP
221, 6.25, -40.00, 0.57, -0.62, ALARM, LOW_FC_TEMP
231, 5.86, -40.00, 0.49, -0.83, ALARM, LOW_FC_TEMP
241, 6.64, -40.00, 0.57, -0.60, ALARM, LOW_FC_TEMP
251, 6.25, -40.00, 0.60, -0.92, ALARM, LOW_FC_TEMP
261, 6.25, -40.00, 0.54, -0.64, ALARM, LOW_FC_TEMP
271, 6.25, -40.00, 0.57, -0.82, ALARM, LOW_FC_TEMP
281, 6.25, -40.00, 0.41, -0.64, ALARM, LOW_FC_TEMP
291, 6.25, -40.00, 0.57, -0.88, ALARM, LOW_FC_TEMP
301, 5.86, -40.00, 0.57, -0.68, ALARM, LOW_FC_TEMP
311, 5.86, -40.00, 0.41, -0.78, ALARM, LOW_FC_TEMP
321, 6.25, -40.00, 0.57, -0.64, ALARM, LOW_FC_TEMP
331, 6.25, -40.00, 0.44, -0.86, ALARM, LOW_FC_TEMP
342, 6.25, -40.00, 0.62, -0.61, ALARM, LOW_FC_TEMP
352, 5.86, -40.00, 0.44, -0.89, ALARM, LOW_FC_TEMP
362, 6.25, -40.00, 0.62, -0.57, ALARM, LOW_FC_TEMP
372, 6.25, -40.00, 0.60, -0.98, ALARM, LOW_FC_TEMP
382, 6.25, -40.00, 0.49, -0.54, ALARM, LOW_FC_TEMP
392, 6.25, -40.00, 0.54, -0.92, ALARM, LOW_FC_TEMP
402, 6.25, -40.00, 0.62, -0.53, ALARM, LOW_FC_TEMP
412, 5.86, -40.00, 0.26, -0.95, ALARM, LOW_FC_TEMP
422, 6.25, -40.00, 0.57, -0.51, ALARM, LOW_FC_TEMP
