=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.07.02 18:58:49 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp.A05.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
4307, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
4317, -205, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
4307, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
4317, -205Millis, Current, Temp., Voltage, Press., State, Alarm
101, -205.47, 124.00, 0.00, -0.06, ALARM, HIGH_FC_TEMP
111, -205.47, 124.00, 0.00, -0.58, ALARM, HIGH_FC_TEMP
121, -205.47, 124.00, 0.00, -1.04, ALARM, HIGH_FC_TEMP
131, -205.47, 124.00, 0.00, -1.50, ALARM, HIGH_FC_TEMP
141, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
151, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
161, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
171, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
181, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
191, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
201, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
211, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
221, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
231, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
241, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
251, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
261, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
271, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
281, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
291, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
301, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
311, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
321, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
331, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
342, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
352, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
362, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
372, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
382, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
392, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
402, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
412, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
422, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
432, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
442, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
452, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
462, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
472, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
482, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
492, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
502, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
512, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
522, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
532, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
542, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
552, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
562, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
572, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
582, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
592, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
602, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
612, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
622, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
632, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
642, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
652, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
662, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
672, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
683, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
693, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
703, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
713, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
723, -205.47, 124.00, 0.00, -1.84, ALARM, HIGH_FC_TEMP
