Millis, Current, Temp., Voltage, Press., State, Alarm
253169,-0.39,24,12.73,-0.1, STANDBY, NONE
253179,-1.95,24,12.65,-0.1, STANDBY, NONE
253189,-0.78,24,12.73,-0.09, STANDBY, NONE
253199,-1.17,24,12.73,-0.08, STANDBY, NONE
253209,-1.95,24,12.71,-0.08, STANDBY, NONE
253219,-1.17,24,12.73,-0.07, STANDBY, NONE
253229,-0.78,24,12.73,-0.09, STANDBY, NONE
253239,-1.95,24,12.73,-0.1, STANDBY, NONE
253249,-1.17,24,12.68,-0.09, STANDBY, NONE
253259,-0.78,24,12.73,-0.09, STANDBY, NONE
253270,-1.56,24,12.71,-0.08, STANDBY, NONE
253280,-1.56,24,12.65,-0.09, STANDBY, NONE
253290,-0.78,24,12.68,-0.08, STANDBY, NONE
253300,-0.78,24,12.73,-0.09, STANDBY, NONE
253310,-0.78,24,12.65,-0.08, STANDBY, NONE
253320,-1.56,24,12.68,-0.08, STANDBY, NONE
253330,-1.17,24,12.68,-0.07, STANDBY, NONE
253340,-1.95,24,12.73,-0.07, STANDBY, NONE
253350,-1.56,24,12.68,-0.08, STANDBY, NONE
253360,-0.39,24,12.71,-0.08, STANDBY, NONE
253370,-1.95,24,12.71,-0.1, STANDBY, NONE
253380,-1.17,24,12.71,-0.09, STANDBY, NONE
253390,-0.78,24,12.71,-0.1, STANDBY, NONE
253400,-1.95,24,12.71,-0.1, STANDBY, NONE
253410,-1.56,24,12.71,-0.1, STANDBY, NONE
253420,-0.39,24,12.76,-0.1, STANDBY, NONE
253430,-1.95,24,12.71,-0.11, STANDBY, NONE
253440,-0.78,24,12.71,-0.1, STANDBY, NONE
253450,-0.78,24,12.71,-0.11, STANDBY, NONE
253460,-1.17,24,12.68,-0.09, STANDBY, NONE
253470,-0.78,24,12.63,-0.08, STANDBY, NONE
253480,-0.39,24,12.68,-0.07, STANDBY, NONE
253490,-0.78,24,12.73,-0.08, STANDBY, NONE
253500,-0.78,24,12.71,-0.1, STANDBY, NONE
253510,-0.39,24,12.78,-0.09, STANDBY, NONE
253520,-1.17,24,12.73,-0.09, STANDBY, NONE
253530,-1.56,24,12.73,-0.09, STANDBY, NONE
253540,-1.95,24,12.71,-0.1, STANDBY, NONE
253550,-0.78,24,12.71,-0.11, STANDBY, NONE
253560,-0.78,24,12.68,-0.11, STANDBY, NONE
253570,-1.56,24,12.73,-0.09, STANDBY, NONE
253580,-1.95,24,12.65,-0.08, STANDBY, NONE
253590,-1.17,24,12.73,-0.07, STANDBY, NONE
253600,-1.17,24,12.68,-0.08, STANDBY, NONE
253611,-1.56,24,12.71,-0.08, STARTUP, NONE
253621,-0.39,24,12.73,-0.1, STARTUP, NONE
253631,-1.56,24,0.03,-0.08, STARTUP, NONE
253641,-1.17,24,0,-0.09, STARTUP, NONE
253651,-2.34,24,0,-0.08, STARTUP, NONE
253661,-2.34,24,0,-0.08, STARTUP, NONE
253671,-1.56,24,0,-0.09, STARTUP, NONE
253681,-1.56,24,0,-0.1, STARTUP, NONE
253691,-1.95,24,0,-0.1, STARTUP, NONE
253701,-0.78,24,0,-0.11, STARTUP, NONE
253711,-1.95,24,0,-0.1, STARTUP, NONE
253721,-0.78,24,0,-0.1, STARTUP, NONE
253731,-1.95,24,0,-0.1, STARTUP, NONE
253741,-0.39,24,0,-0.09, STARTUP, NONE
253751,-1.95,24,0,-0.1, STARTUP, NONE
253761,-1.56,24,0,-0.09, STARTUP, NONE
253771,-0.39,24,0,-0.1, STARTUP, NONE
253782,-1.95,24,0,-0.11, STARTUP, NONE
253792,-1.56,24,0,-0.1, STARTUP, NONE
253802,-0.78,24,0,-0.11, STARTUP, NONE
253812,-1.56,24,0,-0.11, STARTUP, NONE
253822,-1.95,24,0,-0.11, STARTUP, NONE
253832,-0.78,24,0,-0.1, STARTUP, NONE
253842,-1.56,24,0,-0.1, STARTUP, NONE
253852,-0.39,24,0,-0.09, STARTUP, NONE
253862,-1.56,24,0,-0.1, STARTUP, NONE
253872,-0.78,24,0.05,-0.1, STARTUP, NONE
253882,-0.39,24,0,-0.1, STARTUP, NONE
253892,-0.78,24,0.03,-0.1, STARTUP, NONE
253902,-0.78,24,0.03,-0.09, STARTUP, NONE
253912,-0.78,24,0.03,-0.09, STARTUP, NONE
253922,-0.78,24,0.03,-0.09, STARTUP, NONE
253932,-1.95,24,0,-0.09, STARTUP, NONE
253942,-1.56,24,0,-0.1, STARTUP, NONE
253952,-0.78,24,0,-0.1, STARTUP, NONE
253962,-0.39,24,0,-0.1, STARTUP, NONE
253972,-1.56,24,0,-0.09, STARTUP, NONE
253982,-1.56,24,0,-0.09, STARTUP, NONE
253992,-1.56,24,0,-0.1, STARTUP, NONE
254002,-0.78,24,0,-0.11, STARTUP, NONE
254012,-0.78,24,0,-0.11, STARTUP, NONE
254022,-2.34,24,0,-0.11, STARTUP, NONE
254032,-1.17,24,0,-0.12, STARTUP, NONE
254042,-1.95,24,0,-0.11, STARTUP, NONE
254052,-1.56,24,0.03,-0.11, STARTUP, NONE
254062,-0.78,24,0,-0.11, STARTUP, NONE
254072,-1.17,24,0,-0.11, STARTUP, NONE
254082,-1.56,24,0.05,-0.1, STARTUP, NONE
254092,-0.78,24,0.03,-0.09, STARTUP, NONE
254102,-1.56,24,0,-0.09, STARTUP, NONE
254112,-1.56,24,0,-0.09, STARTUP, NONE
254123,-1.56,24,0,-0.12, STARTUP, NONE
254133,-1.95,24,0,-0.12, STARTUP, NONE
254143,-1.95,24,0,-0.12, STARTUP, NONE
254153,-1.17,24,0,-0.12, STARTUP, NONE
254163,-1.95,24,0,-0.1, STARTUP, NONE
254173,-0.39,24,0.03,-0.11, STARTUP, NONE
254183,-0.78,24,0.05,-0.1, STARTUP, NONE
254193,-1.56,24,0,-0.11, STARTUP, NONE
254203,-1.17,24,0.05,-0.11, STARTUP, NONE
254213,-1.95,24,0,-0.1, STARTUP, NONE
254223,-1.95,24,0,-0.09, STARTUP, NONE
254233,-1.56,24,0,-0.1, STARTUP, NONE
254243,-1.56,24,0,-0.1, STARTUP, NONE
254253,-1.17,24,0,-0.1, STARTUP, NONE
254263,-1.56,24,0,-0.09, STARTUP, NONE
254273,-0.78,24,0,-0.08, STARTUP, NONE
254283,-1.56,24,0,-0.08, STARTUP, NONE
254294,-0.39,24,0,-0.09, STARTUP, NONE
254304,-1.95,24,0,-0.09, STARTUP, NONE
254314,-1.56,24,0,-0.11, STARTUP, NONE
254324,-1.56,24,0,-0.11, STARTUP, NONE
254334,-1.95,24,0,-0.12, STARTUP, NONE
254344,-1.95,24,0,-0.13, STARTUP, NONE
254354,-0.39,24,0,-0.13, STARTUP, NONE
254364,-0.78,24,0,-0.13, STARTUP, NONE
254374,-1.56,24,0,-0.1, STARTUP, NONE
254384,-0.78,24,0.03,-0.1, STARTUP, NONE
254394,-1.56,24,0,-0.09, STARTUP, NONE
254404,-2.34,24,0.03,-0.09, STARTUP, NONE
254414,-2.34,24,0.03,-0.08, STARTUP, NONE
254424,-2.34,24,0,-0.09, STARTUP, NONE
254434,-0.39,24,0,-0.09, STARTUP, NONE
254444,-0.39,24,0.03,-0.09, STARTUP, NONE
254454,-1.95,24,0.03,-0.1, STARTUP, NONE
254464,-1.17,24,0,-0.1, STARTUP, NONE
254474,-1.56,24,0,-0.11, STARTUP, NONE
254484,-1.56,24,0,-0.12, STARTUP, NONE
254494,-1.95,24,0,-0.12, STARTUP, NONE
254504,-0.39,24,0,-0.12, STARTUP, NONE
254514,-1.56,24,0,-0.11, STARTUP, NONE
254524,-0.78,24,0,-0.09, STARTUP, NONE
254534,-1.95,24,0,-0.1, STARTUP, NONE
254544,-1.56,24,0,-0.1, STARTUP, NONE
254554,-1.17,24,0.03,-0.1, STARTUP, NONE
254564,-1.17,24,0,-0.09, STARTUP, NONE
254574,-1.56,24,0,-0.09, STARTUP, NONE
254584,-0.78,24,0,-0.1, STARTUP, NONE
254594,-0.39,24,0,-0.1, STARTUP, NONE
254604,-1.56,24,0,-0.11, STARTUP, NONE
254614,-0.78,24,0,-0.11, STARTUP, NONE
254624,-0.78,24,0.03,-0.1, STARTUP, NONE
254635,-1.95,24,0,-0.1, STARTUP, NONE
254645,-1.95,24,0,-0.11, STARTUP, NONE
254655,-1.17,24,0,-0.11, STARTUP, NONE
254665,-1.95,24,0,-0.12, STARTUP, NONE
254675,-1.95,24,0,-0.11, STARTUP, NONE
254685,-1.56,24,0,-0.11, STARTUP, NONE
254695,-1.56,24,0,-0.11, STARTUP, NONE
254705,-0.39,24,0,-0.11, STARTUP, NONE
254715,-1.56,24,0,-0.11, STARTUP, NONE
254725,-2.34,24,0.03,-0.1, STARTUP, NONE
254735,-0.78,24,0,-0.1, STARTUP, NONE
254745,-1.56,24,0,-0.1, STARTUP, NONE
254755,-1.56,24,0,-0.09, STARTUP, NONE
254765,-1.56,24,0.03,-0.11, STARTUP, NONE
254775,-0.78,24,0,-0.1, STARTUP, NONE
